City_ID,city,country,latitude,longitude,Maximum_temperature,percent_humidity,percent_cloudiness,wind_speed,description
0,Agüimes,ES,27.9054,-15.4461,20.35,78,75,9.77,broken clouds
1,Ancud,CL,-41.8697,-73.8203,6.74,92,8,1.92,clear sky
2,Cayenne,GF,4.9333,-52.3333,24.49,90,0,0.0,clear sky
3,Damāvand,IR,35.7178,52.065,19.91,62,45,2.41,scattered clouds
4,Isabela,PH,6.7085,121.9711,31.03,59,84,1.92,broken clouds
5,Maragogi,BR,-9.0122,-35.2225,22.17,87,4,1.02,clear sky
6,Bariloche,AR,-41.1456,-71.3082,3.02,55,5,1.01,clear sky
7,Busselton,AU,-33.65,115.3333,17.8,73,29,12.99,scattered clouds
8,Urucurituba,BR,-2.6833,-57.6667,26.61,56,69,0.36,broken clouds
9,Dingle,PH,10.9995,122.6711,32.29,58,42,7.32,scattered clouds
10,Afşin,TR,38.2477,36.914,14.91,67,0,1.17,clear sky
11,Ushuaia,AR,-54.8,-68.3,7.81,71,40,1.54,scattered clouds
12,Arlit,NE,18.7369,7.3853,30.08,46,86,4.13,overcast clouds
13,Gafanha da Encarnação,PT,40.6181,-8.733,19.04,64,0,3.13,clear sky
14,Upernavik,GL,72.7868,-56.1549,8.34,82,100,5.72,overcast clouds
15,Piaçabuçu,BR,-10.4056,-36.4344,22.23,86,0,2.01,clear sky
16,Venice,US,27.0998,-82.4543,29.01,87,40,2.06,scattered clouds
17,Port-Gentil,GA,-0.7193,8.7815,24.44,77,82,6.18,broken clouds
18,Vestmannaeyjar,IS,63.4427,-20.2734,11.95,85,20,2.81,few clouds
19,Mitha Tiwana,PK,32.2486,72.1108,31.16,64,39,4.62,scattered clouds
20,Hermanus,ZA,-34.4187,19.2345,16.0,72,98,10.28,overcast clouds
21,Vardø,NO,70.3705,31.1107,8.11,90,100,3.33,overcast clouds
22,Punta Arenas,CL,-53.15,-70.9167,8.06,71,0,2.57,clear sky
23,Codrington,AU,-38.2667,141.9667,11.91,78,43,5.34,scattered clouds
24,Mar del Plata,AR,-38.0023,-57.5575,5.63,68,0,2.24,clear sky
25,St. Marys,US,30.7305,-81.5465,26.01,74,1,0.89,clear sky
26,Hong Kong,HK,22.2855,114.1577,33.03,70,99,3.13,light rain
27,Bayjī,IQ,34.9311,43.487,33.68,18,0,1.84,clear sky
28,Arraial do Cabo,BR,-22.9661,-42.0278,17.75,87,100,12.29,overcast clouds
29,Kruisfontein,ZA,-34.0033,24.7314,9.21,88,78,2.76,broken clouds
30,Souillac,MU,-20.5167,57.5167,22.21,68,40,7.72,light rain
31,Lagoa,PT,39.05,-27.9833,20.64,88,53,2.53,broken clouds
32,Kavaratti,IN,10.5669,72.642,27.92,77,100,7.39,overcast clouds
33,Los Llanos de Aridane,ES,28.6585,-17.9182,20.86,84,90,6.17,overcast clouds
34,Shāhābād,IN,27.65,79.95,30.98,68,100,1.22,overcast clouds
35,Orzhytsya,UA,49.7918,32.7012,22.62,72,0,1.75,clear sky
36,Türkan,AZ,40.3639,50.215,26.1,65,40,9.26,scattered clouds
37,Cape Town,ZA,-33.9258,18.4232,12.71,83,75,1.79,moderate rain
38,Saint George,US,37.1041,-113.5841,36.33,25,1,1.34,clear sky
39,Hofn,IS,64.2539,-15.2082,12.65,79,100,5.04,overcast clouds
40,Port Alfred,ZA,-33.5906,26.891,12.76,86,17,4.52,few clouds
41,Angoche,MZ,-16.2325,39.9086,20.13,72,0,3.07,clear sky
42,Korem,ET,12.5058,39.5228,15.56,80,100,1.29,light rain
43,Saint-Philippe,RE,-21.3585,55.7679,20.77,82,100,9.04,light rain
44,Safi,MA,32.2994,-9.2372,20.09,92,0,5.47,clear sky
45,Bredasdorp,ZA,-34.5322,20.0403,15.71,62,69,7.2,broken clouds
46,Westport,US,41.1415,-73.3579,23.08,89,75,2.24,broken clouds
47,Araouane,ML,18.9048,-3.5265,33.31,39,21,4.79,few clouds
48,Dikson,RU,73.5069,80.5464,4.0,94,67,4.26,broken clouds
49,Kiryat Gat,IL,31.61,34.7642,25.51,83,6,1.64,clear sky
50,Tazovsky,RU,67.4667,78.7,13.9,62,58,6.18,broken clouds
51,Tver',RU,56.8619,35.8931,17.56,90,77,1.65,broken clouds
52,Iqaluit,CA,63.7506,-68.5145,7.61,70,20,1.34,few clouds
53,Ilhéus,BR,-14.7889,-39.0494,20.84,93,26,1.74,scattered clouds
54,Quelimane,MZ,-17.8786,36.8883,13.97,100,20,1.54,few clouds
55,Hamilton,US,39.1834,-84.5333,26.34,85,1,0.0,clear sky
56,Qaqortoq,GL,60.7167,-46.0333,9.28,96,60,1.14,broken clouds
57,Buctzotz,MX,21.2,-88.7833,23.8,90,49,1.91,scattered clouds
58,Muros,ES,42.7762,-9.0603,17.27,79,7,4.71,clear sky
59,Harar,ET,9.3094,42.1258,13.08,86,100,3.37,overcast clouds
60,East London,ZA,-33.0153,27.9116,13.52,88,20,3.6,few clouds
61,Barra do Garças,BR,-15.89,-52.2567,18.32,55,0,4.12,clear sky
62,Biscarrosse,FR,44.3945,-1.1672,13.13,94,40,1.03,scattered clouds
63,Klaksvík,FO,62.2266,-6.589,10.51,99,100,6.25,overcast clouds
64,Warri,NG,5.5167,5.75,22.73,90,95,1.43,overcast clouds
65,Moramanga,MG,-18.9333,48.2,13.13,99,100,2.49,light rain
66,Qaanaaq,GL,77.484,-69.3632,6.11,93,100,0.73,light rain
67,Jamestown,US,42.097,-79.2353,19.8,75,1,0.45,clear sky
68,Troy,US,42.6056,-83.1499,24.26,85,64,0.45,broken clouds
69,Trairi,BR,-3.2778,-39.2689,25.34,88,48,4.19,scattered clouds
70,Salinópolis,BR,-0.6136,-47.3561,25.48,84,13,3.81,few clouds
71,Narsaq,GL,60.9167,-46.05,9.12,93,75,1.58,broken clouds
72,Rivadavia,AR,-33.1905,-68.4608,2.26,40,0,2.68,clear sky
73,San Miguel de Cozumel,MX,20.5083,-86.9458,27.99,85,30,1.79,scattered clouds
74,Chui,UY,-33.6971,-53.4616,5.76,73,51,5.45,broken clouds
75,Torbay,CA,47.6666,-52.7314,19.86,98,90,3.6,overcast clouds
76,Yar-Sale,RU,66.8333,70.8333,13.95,63,67,4.06,broken clouds
77,Algiers,DZ,36.7525,3.042,24.9,89,40,2.57,scattered clouds
78,Hobyo,SO,5.3505,48.5268,25.07,77,80,9.14,broken clouds
79,Port Elizabeth,ZA,-33.918,25.5701,10.16,87,0,3.6,clear sky
80,Tasiilaq,GL,65.6145,-37.6368,6.09,64,84,2.77,broken clouds
81,Lebu,CL,-37.6167,-73.65,9.24,74,0,2.72,clear sky
82,Arona,ES,28.0996,-16.681,18.34,77,75,4.12,broken clouds
83,Cidreira,BR,-30.1811,-50.2056,7.18,72,93,9.62,overcast clouds
84,Bengkulu,ID,-3.8004,102.2655,29.22,66,58,3.39,broken clouds
85,Camocim,BR,-2.9022,-40.8411,24.09,91,23,3.01,few clouds
86,San Carlos,VE,9.6612,-68.5827,22.02,98,100,0.54,overcast clouds
87,Hithadhoo,MV,-0.6,73.0833,26.99,74,100,2.32,heavy intensity rain
88,Lappeenranta,FI,61.0587,28.1887,18.21,100,75,1.54,mist
89,Kidal,ML,18.4411,1.4078,30.2,49,28,3.63,scattered clouds
90,Doka,SD,13.5167,35.7667,21.72,88,100,4.79,overcast clouds
91,Alpinópolis,BR,-20.8636,-46.3881,11.04,65,95,4.44,overcast clouds
92,Mahibadhoo,MV,3.7833,72.9667,28.02,74,98,4.29,overcast clouds
93,Touros,BR,-5.1989,-35.4608,23.5,87,14,4.84,few clouds
94,Arrondissement de Millau,FR,44.0833,2.9167,14.66,96,1,1.09,clear sky
95,Saldanha,ZA,-33.0117,17.9442,10.03,79,57,6.29,broken clouds
96,Kushmurun,KZ,52.4503,64.6311,16.65,48,0,2.24,clear sky
97,Itarema,BR,-2.9248,-39.9167,25.2,89,30,5.11,scattered clouds
98,Calabozo,VE,8.9242,-67.4293,22.41,97,82,1.37,broken clouds
99,Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,3.43,46,0,1.99,clear sky
100,Gamba,GA,-2.65,10.0,20.98,92,34,2.51,scattered clouds
101,Vasylivka,UA,47.4369,35.2742,23.49,66,17,4.24,few clouds
102,Havøysund,NO,70.9963,24.6622,8.49,87,97,3.6,overcast clouds
103,Mehamn,NO,71.0357,27.8492,8.1,93,90,3.09,overcast clouds
104,São João da Barra,BR,-21.6403,-41.0511,19.24,82,100,7.59,overcast clouds
105,Chapada dos Guimarães,BR,-15.4606,-55.7497,9.81,27,1,3.27,clear sky
106,Inhambane,MZ,-23.865,35.3833,11.99,94,20,0.0,few clouds
107,Qandala,SO,11.472,49.8728,30.2,51,65,4.94,broken clouds
108,Grindavik,IS,63.8424,-22.4338,10.97,93,0,5.14,clear sky
109,Axum,ET,14.1245,38.7244,15.31,91,99,0.9,overcast clouds
110,Kaura Namoda,NG,12.5898,6.5779,23.93,84,99,3.27,overcast clouds
111,George Town,MY,5.4112,100.3354,29.99,76,40,0.89,moderate rain
112,Knysna,ZA,-34.0363,23.0471,10.21,75,88,2.55,overcast clouds
113,Kashgar,CN,39.4547,75.9797,30.56,32,0,2.0,clear sky
114,Grand Gaube,MU,-20.0064,57.6608,22.22,73,99,5.36,overcast clouds
115,Arroyos y Esteros,PY,-25.0667,-57.1,5.86,55,14,1.3,few clouds
116,Vila Velha,BR,-20.3297,-40.2925,20.97,88,20,2.57,few clouds
117,Bonavista,CA,48.6499,-53.1147,18.95,95,73,5.67,broken clouds
118,Nanortalik,GL,60.1432,-45.2371,6.73,90,78,4.29,broken clouds
119,Conceição do Araguaia,BR,-8.2578,-49.2647,25.07,61,0,2.06,clear sky
120,Aksu,CN,41.1231,80.2644,34.9,17,77,1.66,broken clouds
121,Northampton,US,40.8754,-75.2499,20.77,85,0,2.06,clear sky
122,Maunabo,PR,18.0072,-65.8993,26.14,89,91,5.7,overcast clouds
123,Dondo,MZ,-19.6094,34.7431,14.73,89,0,1.81,clear sky
124,Cockburn Town,TC,21.4612,-71.1419,27.62,78,100,9.62,overcast clouds
125,Bonga,ET,7.2833,36.2333,15.77,99,100,0.58,overcast clouds
126,Rørvik,NO,64.8621,11.2373,15.33,80,41,2.04,scattered clouds
127,Léo,BF,11.1,-2.1,21.27,93,92,2.88,overcast clouds
128,Montepuez,MZ,-13.1256,38.9997,14.86,91,8,3.26,clear sky
129,Meulaboh,ID,4.1363,96.1285,29.12,65,100,0.9,overcast clouds
130,Atlantic Beach,US,30.3344,-81.3987,25.56,96,1,1.54,clear sky
131,Río Cuarto,AR,-33.1307,-64.3499,-1.2,55,0,2.67,clear sky
132,Utete,TZ,-7.986,38.758,18.75,96,8,1.12,clear sky
133,Emba,KZ,48.8264,58.1442,25.11,36,47,4.4,scattered clouds
134,Queenstown,ZA,-31.8976,26.8753,7.02,54,0,3.5,clear sky
135,Bagotville,AU,-28.9833,153.4167,24.01,37,6,3.23,clear sky
136,Pangnirtung,CA,66.1451,-65.7125,11.12,61,81,1.71,broken clouds
137,Ilulissat,GL,69.2167,-51.1,9.01,71,31,1.03,scattered clouds
138,Castro,BR,-24.7911,-50.0119,0.86,74,30,4.26,scattered clouds
139,Killybegs,IE,54.6333,-8.45,13.8,85,98,8.65,overcast clouds
140,Gemena,CD,3.25,19.7667,22.05,83,100,1.0,overcast clouds
141,Zaozyornoye,UA,45.1582,33.2787,25.07,73,0,3.13,clear sky
142,Abu Dhabi,AE,24.4667,54.3667,34.06,59,98,2.06,overcast clouds
143,Province of Trapani,IT,37.8333,12.6667,28.27,49,0,4.12,clear sky
144,Taltal,CL,-25.4,-70.4833,13.36,65,4,1.26,clear sky
145,Faya,SA,18.3851,42.4509,19.06,58,78,1.78,broken clouds
146,San Andrés,CO,12.5847,-81.7006,28.01,78,40,6.69,scattered clouds
147,Kumo,NG,10.0447,11.2122,20.9,88,95,2.96,overcast clouds
148,Ribeira Grande,PT,38.5167,-28.7,21.26,88,19,3.74,few clouds
149,Bubaque,GW,11.2833,-15.8333,25.79,85,100,7.41,moderate rain
150,Bambous Virieux,MU,-20.3428,57.7575,22.14,68,40,7.72,scattered clouds
151,Corinth,GR,37.9407,22.9573,29.24,45,0,0.95,clear sky
152,Ihtiman,BG,42.4333,23.8167,22.62,45,3,1.29,clear sky
153,Olafsvik,IS,64.8945,-23.7142,10.58,87,56,6.59,broken clouds
154,Carballo,ES,43.213,-8.691,16.67,92,41,1.8,scattered clouds
155,Harper,LR,4.375,-7.7169,24.57,81,81,3.19,light rain
156,Ormara,PK,25.2088,64.6357,28.13,86,92,4.8,overcast clouds
157,São Filipe,CV,14.8961,-24.4956,23.57,75,86,2.56,overcast clouds
158,Korla,CN,41.7597,86.1469,35.84,15,6,6.77,clear sky
159,Paamiut,GL,61.994,-49.6678,6.09,91,45,3.31,scattered clouds
160,Maniitsoq,GL,65.4167,-52.9,8.51,76,99,5.45,overcast clouds
161,Yokadouma,CM,3.5167,15.05,20.58,97,97,0.55,overcast clouds
162,Anzio,IT,41.4853,12.6179,25.2,64,0,5.03,clear sky
163,Mpulungu,ZM,-8.7623,31.1141,17.54,55,1,3.12,clear sky
164,Mahébourg,MU,-20.4081,57.7,22.16,68,40,7.72,light rain
165,Acaraú,BR,-2.8856,-40.12,24.99,90,25,5.07,scattered clouds
166,Nizwá,OM,22.9333,57.5333,32.97,37,57,2.92,broken clouds
167,Krasnoarmeysk,RU,51.0239,45.6969,22.86,45,96,3.8,overcast clouds
168,Mezen',RU,65.8522,44.24,8.89,82,100,1.52,overcast clouds
169,Bilma,NE,18.6853,12.9164,31.99,38,72,3.59,broken clouds
170,Aktau,KZ,43.65,51.2,22.32,53,0,5.88,clear sky
171,Moundou,TD,8.5667,16.0833,20.71,95,100,1.38,overcast clouds
172,Penha,BR,-26.7694,-48.6458,9.93,43,0,7.72,clear sky
173,Dotnuva,LT,55.35,23.9,18.49,95,100,2.7,overcast clouds
174,Provincia di Pescara,IT,42.3333,13.95,23.94,34,0,2.81,clear sky
175,Stromness,GB,58.965,-3.296,13.14,98,100,6.33,overcast clouds
176,Alghero,IT,40.5589,8.3181,22.05,100,0,1.54,clear sky
177,Camaquã,BR,-30.8511,-51.8122,3.82,79,8,5.42,clear sky
178,Kuzhithurai,IN,8.3167,77.1833,26.82,70,100,5.69,overcast clouds
179,Inderka,RU,53.2485,46.2582,16.98,81,96,2.26,light rain
180,Comodoro Rivadavia,AR,-45.8667,-67.5,7.92,66,0,2.06,clear sky
181,Krasnosel'kup,RU,65.7,82.4667,19.57,66,0,6.13,clear sky
182,Bukama,CD,-9.2,25.85,17.66,43,0,1.49,clear sky
183,Mossamedes,AO,-15.1961,12.1522,17.52,80,1,0.93,clear sky
184,Monastyrshchina,RU,54.3496,31.838,18.49,86,19,1.79,few clouds
185,Olinda,BR,-8.0089,-34.8553,22.85,83,75,1.54,broken clouds
186,Beira,MZ,-19.8436,34.8389,15.05,94,20,2.57,few clouds
187,Chute-aux-Outardes,CA,49.1168,-68.399,13.17,87,1,2.06,clear sky
188,Semnan,IR,35.5729,53.3971,26.1,51,38,3.26,scattered clouds
189,Ust'-Kan,RU,50.9276,84.761,16.06,67,48,1.2,scattered clouds
190,Taywarah,AF,33.35,64.4167,21.44,23,1,2.65,clear sky
191,Talnakh,RU,69.4865,88.3972,16.56,63,100,2.75,overcast clouds
192,Nioki,CD,-2.7167,17.6833,19.59,37,16,1.61,few clouds
193,Togur,RU,58.3631,82.8265,18.43,63,96,4.32,overcast clouds
194,Little Current,CA,45.9793,-81.9248,20.05,73,100,3.17,overcast clouds
195,Nuuk,GL,64.1835,-51.7216,6.34,93,20,5.66,few clouds
196,Necochea,AR,-38.5473,-58.7368,1.13,81,19,4.21,few clouds
197,Longyearbyen,SJ,78.2186,15.6401,5.91,93,90,2.57,overcast clouds
198,Maputo,MZ,-25.9653,32.5892,13.82,88,0,2.06,clear sky
199,Cabedelo,BR,-6.9811,-34.8339,23.37,85,5,4.52,clear sky
200,Ostrovnoy,RU,68.0531,39.5131,8.38,74,100,2.03,overcast clouds
201,Kendrapara,IN,20.5042,86.416,27.94,94,100,5.61,moderate rain
202,Tiznit Province,MA,29.5833,-9.5,24.84,53,24,0.76,few clouds
203,Taoudenni,ML,22.6783,-3.9836,36.02,23,8,3.5,clear sky
204,Miraflores,MX,19.2167,-98.8083,19.37,89,100,0.59,overcast clouds
205,Camaçari,BR,-12.6975,-38.3242,22.87,95,5,1.72,clear sky
206,Gârbou,RO,47.15,23.4333,19.95,86,7,2.3,clear sky
207,Belmonte,BR,-15.8631,-38.8828,22.28,89,15,4.49,few clouds
208,Ardakān,IR,32.31,54.0175,27.21,15,58,4.52,broken clouds
209,Haputale,LK,6.7681,80.9595,21.33,55,95,1.09,overcast clouds
210,Talcahuano,CL,-36.7167,-73.1167,9.82,66,0,2.57,clear sky
211,Pelym,RU,61.0108,61.9978,7.86,91,100,2.79,overcast clouds
212,Luján,AR,-34.5703,-59.105,6.86,93,2,2.76,clear sky
213,High Rock,BS,26.6208,-78.2833,27.01,70,6,3.95,clear sky
214,Saravena,CO,6.9538,-71.8752,21.49,97,100,0.8,overcast clouds
215,Puerto Carreño,CO,6.189,-67.4859,24.28,90,100,1.35,overcast clouds
216,Clyde River,CA,70.4692,-68.5914,5.13,87,1,1.03,clear sky
217,Córdoba,AR,-31.4135,-64.1811,3.75,58,0,3.09,clear sky
218,Leshukonskoye,RU,64.8989,45.7622,9.79,82,99,1.77,overcast clouds
219,Sisimiut,GL,66.9395,-53.6735,9.2,78,100,3.66,overcast clouds
220,Salalah,OM,17.0151,54.0924,26.05,89,90,5.14,light intensity drizzle
221,Toamasina,MG,-18.1667,49.3833,19.0,94,75,4.63,moderate rain
222,Tabriz,IR,38.08,46.2919,17.7,63,40,8.23,scattered clouds
223,Båtsfjord,NO,70.6345,29.7185,8.12,93,100,3.63,overcast clouds
224,Matamba,TZ,-8.9833,33.9667,7.46,64,0,2.5,clear sky
225,Zhezkazgan,KZ,47.8043,67.7144,25.13,21,100,2.62,overcast clouds
226,Omboué,GA,-1.5746,9.2618,21.98,87,91,2.43,overcast clouds
227,Timizart,DZ,36.8,4.2667,24.05,60,0,1.75,clear sky
228,Dvorichna,UA,49.8496,37.6857,21.98,66,9,3.04,clear sky
229,Ibrā’,OM,22.6906,58.5334,31.11,44,61,2.54,broken clouds
230,Starogard Gdański,PL,53.964,18.5264,17.16,100,0,3.43,clear sky
231,Sémbé,CG,1.6481,14.5806,21.01,88,50,0.98,scattered clouds
232,Sinnamary,GF,5.3833,-52.95,24.93,88,100,3.39,overcast clouds
233,Ilo,PE,-17.6394,-71.3375,15.19,82,58,3.05,broken clouds
234,Drăgăneşti,RO,45.7833,27.4667,22.91,68,38,0.67,scattered clouds
235,Sørland,NO,67.667,12.6934,10.75,86,20,11.08,few clouds
236,Krasnohrad,UA,49.3814,35.4402,21.49,78,8,1.54,clear sky
237,Bunia,CD,1.5667,30.25,16.09,98,77,1.57,broken clouds
238,Melbu,NO,68.5044,14.8297,12.95,85,15,4.7,few clouds
239,Malinovoye Ozero,RU,51.6753,79.7825,23.04,30,100,2.41,overcast clouds
